,padnumber,xposition,yposition,type,optional
0,1,-2.75,5.09,11.0,"SIZE:0.82,ROTATE:-120,X_CROP:0.5,INVERT:1"
1,2,-1.96,5.09,11.0,"SIZE:0.82,ROTATE:0"
2,3,-1.17,5.09,44.0,"SIZE:0.82,ROTATE:0,TEXT_Y_OFFSET:-0.13,TEXT_X_OFFSET:+0.05"
3,4,-0.38,5.09,11.0,"SIZE:0.82,ROTATE:0"
4,5,0.41,5.09,11.0,"SIZE:0.82,ROTATE:0"
5,6,1.2,5.09,44.0,"SIZE:0.82,ROTATE:0,TEXT_Y_OFFSET:-0.13,TEXT_X_OFFSET:+0.05"
6,7,1.99,5.09,11.0,"SIZE:0.82,ROTATE:0"
7,8,2.78,5.09,11.0,"SIZE:0.82,ROTATE:-120,X_CROP:0.5,ROTATE:120"
8,9,-3.14,4.4,42.0,"SIZE:0.82,ROTATE:60"
9,10,-2.35,4.4,0.0,"SIZE:0.82,ROTATE:0"
10,11,-1.56,4.4,0.0,"SIZE:0.82,ROTATE:0"
11,12,-0.77,4.4,0.0,"SIZE:0.82,ROTATE:0"
12,13,0.02,4.4,4.0,"SIZE:0.82,ROTATE:0"
13,14,0.02,4.4,14.0,"SIZE:0.35,ROTATE:0"
14,15,0.8,4.4,0.0,"SIZE:0.82,ROTATE:0"
15,16,1.59,4.4,0.0,"SIZE:0.82,ROTATE:0"
16,17,2.38,4.4,0.0,"SIZE:0.82,ROTATE:0"
17,18,3.17,4.4,42.0,"SIZE:0.82,ROTATE:60,INVERT:1"
18,19,-3.54,3.71,43.0,"SIZE:0.82,ROTATE:60,TEXT_Y_OFFSET:-0.05,TEXT_X_OFFSET:+0.2"
19,20,-2.75,3.71,0.0,"SIZE:0.82,ROTATE:0"
20,21,-1.96,3.71,0.0,"SIZE:0.82,ROTATE:0"
21,22,-1.17,3.71,0.0,"SIZE:0.82,ROTATE:0"
22,23,-0.38,3.71,0.0,"SIZE:0.82,ROTATE:0"
23,24,0.41,3.71,0.0,"SIZE:0.82,ROTATE:0"
24,25,1.2,3.71,0.0,"SIZE:0.82,ROTATE:0"
25,26,1.99,3.71,0.0,"SIZE:0.82,ROTATE:0"
26,27,2.78,3.71,0.0,"SIZE:0.82,ROTATE:0"
27,28,3.57,3.71,43.0,"SIZE:0.82,ROTATE:300,TEXT_Y_OFFSET:-0.05,TEXT_X_OFFSET:-0.1"
28,29,-3.93,3.02,41.0,"SIZE:0.82,ROTATE:60"
29,30,-3.14,3.02,0.0,"SIZE:0.82,ROTATE:0"
30,31,-2.35,3.02,0.0,"SIZE:0.82,ROTATE:0"
31,32,-1.56,3.02,0.0,"SIZE:0.82,ROTATE:0"
32,33,-0.77,3.02,0.0,"SIZE:0.82,ROTATE:0"
33,34,0.01,3.02,0.0,"SIZE:0.82,ROTATE:0"
34,35,0.8,3.02,0.0,"SIZE:0.82,ROTATE:0"
35,36,1.59,3.02,0.0,"SIZE:0.82,ROTATE:0"
36,37,2.38,3.02,0.0,"SIZE:0.82,ROTATE:0"
37,38,3.17,3.02,0.0,"SIZE:0.82,ROTATE:0"
38,39,3.96,3.02,41.0,"SIZE:0.82,ROTATE:300"
39,40,-4.33,2.33,41.0,"SIZE:0.82,ROTATE:60"
40,41,-3.54,2.33,0.0,"SIZE:0.82,ROTATE:0"
41,42,-2.75,2.33,0.0,"SIZE:0.82,ROTATE:0"
42,43,-1.96,2.33,0.0,"SIZE:0.82,ROTATE:0"
43,44,-1.17,2.33,0.0,"SIZE:0.82,ROTATE:0"
44,45,-0.38,2.33,0.0,"SIZE:0.82,ROTATE:0"
45,46,0.41,2.33,0.0,"SIZE:0.82,ROTATE:0"
46,47,1.2,2.33,0.0,"SIZE:0.82,ROTATE:0"
47,48,1.99,2.33,0.0,"SIZE:0.82,ROTATE:0"
48,49,2.78,2.33,0.0,"SIZE:0.82,ROTATE:0"
49,50,3.57,2.33,0.0,"SIZE:0.82,ROTATE:0"
50,51,4.36,2.33,41.0,"SIZE:0.82,ROTATE:300"
51,52,-4.72,1.64,41.0,"SIZE:0.82,ROTATE:60"
52,53,-3.93,1.64,0.0,"SIZE:0.82,ROTATE:0"
53,54,-3.15,1.64,0.0,"SIZE:0.82,ROTATE:0"
54,55,-2.35,1.64,0.0,"SIZE:0.82,ROTATE:0"
55,56,-1.56,1.64,0.0,"SIZE:0.82,ROTATE:0"
56,57,-0.78,1.64,0.0,"SIZE:0.82,ROTATE:0"
57,58,0.01,1.64,0.0,"SIZE:0.82,ROTATE:0"
58,59,0.8,1.64,0.0,"SIZE:0.82,ROTATE:0"
59,60,1.59,1.64,0.0,"SIZE:0.82,ROTATE:0"
60,61,2.38,1.64,4.0,"SIZE:0.82,ROTATE:0"
61,62,2.38,1.64,14.0,"SIZE:0.35,ROTATE:0"
62,63,3.17,1.64,0.0,"SIZE:0.82,ROTATE:0"
63,64,3.96,1.64,0.0,"SIZE:0.82,ROTATE:0"
